id;tweet;sentiment
144;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
145;Multiple media outlets report rising tensions in the region.;neutral
146;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
147;The ceasefire negotiation has not reached a final agreement yet.;neutral
148;Social media trends show growing global attention to the conflict.;neutral
149;A new resolution was proposed by the UN regarding the conflict.;neutral
150;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
151;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
152;The current death toll has risen according to several local sources.;neutral
153;Israeli military operations continue in several areas of Gaza Strip.;neutral
154;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
155;Multiple media outlets report rising tensions in the region.;neutral
156;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
157;The ceasefire negotiation has not reached a final agreement yet.;neutral
158;Social media trends show growing global attention to the conflict.;neutral
159;A new resolution was proposed by the UN regarding the conflict.;neutral
160;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
161;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
162;The current death toll has risen according to several local sources.;neutral
163;Israeli military operations continue in several areas of Gaza Strip.;neutral
164;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
165;Multiple media outlets report rising tensions in the region.;neutral
166;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
167;The ceasefire negotiation has not reached a final agreement yet.;neutral
168;Social media trends show growing global attention to the conflict.;neutral
169;A new resolution was proposed by the UN regarding the conflict.;neutral
170;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
171;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
172;The current death toll has risen according to several local sources.;neutral
173;Israeli military operations continue in several areas of Gaza Strip.;neutral
174;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
175;Multiple media outlets report rising tensions in the region.;neutral
176;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
177;The ceasefire negotiation has not reached a final agreement yet.;neutral
178;Social media trends show growing global attention to the conflict.;neutral
179;A new resolution was proposed by the UN regarding the conflict.;neutral
180;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
181;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
182;The current death toll has risen according to several local sources.;neutral
183;Israeli military operations continue in several areas of Gaza Strip.;neutral
184;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
185;Multiple media outlets report rising tensions in the region.;neutral
186;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
187;The ceasefire negotiation has not reached a final agreement yet.;neutral
188;Social media trends show growing global attention to the conflict.;neutral
189;A new resolution was proposed by the UN regarding the conflict.;neutral
190;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
191;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
192;The current death toll has risen according to several local sources.;neutral
193;Israeli military operations continue in several areas of Gaza Strip.;neutral
194;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
195;Multiple media outlets report rising tensions in the region.;neutral
196;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
197;The ceasefire negotiation has not reached a final agreement yet.;neutral
198;Social media trends show growing global attention to the conflict.;neutral
199;A new resolution was proposed by the UN regarding the conflict.;neutral
200;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
201;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
202;The current death toll has risen according to several local sources.;neutral
203;Israeli military operations continue in several areas of Gaza Strip.;neutral
204;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
205;Multiple media outlets report rising tensions in the region.;neutral
206;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
207;The ceasefire negotiation has not reached a final agreement yet.;neutral
208;Social media trends show growing global attention to the conflict.;neutral
209;A new resolution was proposed by the UN regarding the conflict.;neutral
210;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
211;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
212;The current death toll has risen according to several local sources.;neutral
213;Israeli military operations continue in several areas of Gaza Strip.;neutral
214;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
215;Multiple media outlets report rising tensions in the region.;neutral
216;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
217;The ceasefire negotiation has not reached a final agreement yet.;neutral
218;Social media trends show growing global attention to the conflict.;neutral
219;A new resolution was proposed by the UN regarding the conflict.;neutral
220;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
221;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
222;The current death toll has risen according to several local sources.;neutral
223;Israeli military operations continue in several areas of Gaza Strip.;neutral
224;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
225;Multiple media outlets report rising tensions in the region.;neutral
226;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
227;The ceasefire negotiation has not reached a final agreement yet.;neutral
228;Social media trends show growing global attention to the conflict.;neutral
229;A new resolution was proposed by the UN regarding the conflict.;neutral
230;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
231;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
232;The current death toll has risen according to several local sources.;neutral
233;Israeli military operations continue in several areas of Gaza Strip.;neutral
234;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
235;Multiple media outlets report rising tensions in the region.;neutral
236;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
237;The ceasefire negotiation has not reached a final agreement yet.;neutral
238;Social media trends show growing global attention to the conflict.;neutral
239;A new resolution was proposed by the UN regarding the conflict.;neutral
240;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
241;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
242;The current death toll has risen according to several local sources.;neutral
243;Israeli military operations continue in several areas of Gaza Strip.;neutral
244;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
245;Multiple media outlets report rising tensions in the region.;neutral
246;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
247;The ceasefire negotiation has not reached a final agreement yet.;neutral
248;Social media trends show growing global attention to the conflict.;neutral
249;A new resolution was proposed by the UN regarding the conflict.;neutral
250;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
251;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
252;The current death toll has risen according to several local sources.;neutral
253;Israeli military operations continue in several areas of Gaza Strip.;neutral
254;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
255;Multiple media outlets report rising tensions in the region.;neutral
256;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
257;The ceasefire negotiation has not reached a final agreement yet.;neutral
258;Social media trends show growing global attention to the conflict.;neutral
259;A new resolution was proposed by the UN regarding the conflict.;neutral
260;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
261;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
262;The current death toll has risen according to several local sources.;neutral
263;Israeli military operations continue in several areas of Gaza Strip.;neutral
264;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
265;Multiple media outlets report rising tensions in the region.;neutral
266;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
267;The ceasefire negotiation has not reached a final agreement yet.;neutral
268;Social media trends show growing global attention to the conflict.;neutral
269;A new resolution was proposed by the UN regarding the conflict.;neutral
270;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
271;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
272;The current death toll has risen according to several local sources.;neutral
273;Israeli military operations continue in several areas of Gaza Strip.;neutral
274;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
275;Multiple media outlets report rising tensions in the region.;neutral
276;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
277;The ceasefire negotiation has not reached a final agreement yet.;neutral
278;Social media trends show growing global attention to the conflict.;neutral
279;A new resolution was proposed by the UN regarding the conflict.;neutral
280;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
281;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
282;The current death toll has risen according to several local sources.;neutral
283;Israeli military operations continue in several areas of Gaza Strip.;neutral
284;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
285;Multiple media outlets report rising tensions in the region.;neutral
286;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
287;The ceasefire negotiation has not reached a final agreement yet.;neutral
288;Social media trends show growing global attention to the conflict.;neutral
289;A new resolution was proposed by the UN regarding the conflict.;neutral
290;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
291;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
292;The current death toll has risen according to several local sources.;neutral
293;Israeli military operations continue in several areas of Gaza Strip.;neutral
294;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
295;Multiple media outlets report rising tensions in the region.;neutral
296;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
297;The ceasefire negotiation has not reached a final agreement yet.;neutral
298;Social media trends show growing global attention to the conflict.;neutral
299;A new resolution was proposed by the UN regarding the conflict.;neutral
300;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
301;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
302;The current death toll has risen according to several local sources.;neutral
303;Israeli military operations continue in several areas of Gaza Strip.;neutral
304;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
305;Multiple media outlets report rising tensions in the region.;neutral
306;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
307;The ceasefire negotiation has not reached a final agreement yet.;neutral
308;Social media trends show growing global attention to the conflict.;neutral
309;A new resolution was proposed by the UN regarding the conflict.;neutral
310;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
311;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
312;The current death toll has risen according to several local sources.;neutral
313;Israeli military operations continue in several areas of Gaza Strip.;neutral
314;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
315;Multiple media outlets report rising tensions in the region.;neutral
316;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
317;The ceasefire negotiation has not reached a final agreement yet.;neutral
318;Social media trends show growing global attention to the conflict.;neutral
319;A new resolution was proposed by the UN regarding the conflict.;neutral
320;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
321;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
322;The current death toll has risen according to several local sources.;neutral
323;Israeli military operations continue in several areas of Gaza Strip.;neutral
324;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
325;Multiple media outlets report rising tensions in the region.;neutral
326;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
327;The ceasefire negotiation has not reached a final agreement yet.;neutral
328;Social media trends show growing global attention to the conflict.;neutral
329;A new resolution was proposed by the UN regarding the conflict.;neutral
330;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
331;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
332;The current death toll has risen according to several local sources.;neutral
333;Israeli military operations continue in several areas of Gaza Strip.;neutral
334;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
335;Multiple media outlets report rising tensions in the region.;neutral
336;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
337;The ceasefire negotiation has not reached a final agreement yet.;neutral
338;Social media trends show growing global attention to the conflict.;neutral
339;A new resolution was proposed by the UN regarding the conflict.;neutral
340;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
341;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
342;The current death toll has risen according to several local sources.;neutral
343;Israeli military operations continue in several areas of Gaza Strip.;neutral
344;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
345;Multiple media outlets report rising tensions in the region.;neutral
346;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
347;The ceasefire negotiation has not reached a final agreement yet.;neutral
348;Social media trends show growing global attention to the conflict.;neutral
349;A new resolution was proposed by the UN regarding the conflict.;neutral
350;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
351;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
352;The current death toll has risen according to several local sources.;neutral
353;Israeli military operations continue in several areas of Gaza Strip.;neutral
354;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
355;Multiple media outlets report rising tensions in the region.;neutral
356;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
357;The ceasefire negotiation has not reached a final agreement yet.;neutral
358;Social media trends show growing global attention to the conflict.;neutral
359;A new resolution was proposed by the UN regarding the conflict.;neutral
360;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
361;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
362;The current death toll has risen according to several local sources.;neutral
363;Israeli military operations continue in several areas of Gaza Strip.;neutral
364;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
365;Multiple media outlets report rising tensions in the region.;neutral
366;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
367;The ceasefire negotiation has not reached a final agreement yet.;neutral
368;Social media trends show growing global attention to the conflict.;neutral
369;A new resolution was proposed by the UN regarding the conflict.;neutral
370;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
371;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
372;The current death toll has risen according to several local sources.;neutral
373;Israeli military operations continue in several areas of Gaza Strip.;neutral
374;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
375;Multiple media outlets report rising tensions in the region.;neutral
376;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
377;The ceasefire negotiation has not reached a final agreement yet.;neutral
378;Social media trends show growing global attention to the conflict.;neutral
379;A new resolution was proposed by the UN regarding the conflict.;neutral
380;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
381;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
382;The current death toll has risen according to several local sources.;neutral
383;Israeli military operations continue in several areas of Gaza Strip.;neutral
384;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
385;Multiple media outlets report rising tensions in the region.;neutral
386;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
387;The ceasefire negotiation has not reached a final agreement yet.;neutral
388;Social media trends show growing global attention to the conflict.;neutral
389;A new resolution was proposed by the UN regarding the conflict.;neutral
390;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
391;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
392;The current death toll has risen according to several local sources.;neutral
393;Israeli military operations continue in several areas of Gaza Strip.;neutral
394;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
395;Multiple media outlets report rising tensions in the region.;neutral
396;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
397;The ceasefire negotiation has not reached a final agreement yet.;neutral
398;Social media trends show growing global attention to the conflict.;neutral
399;A new resolution was proposed by the UN regarding the conflict.;neutral
400;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
