created_at;full_text_en;label;;;;;;;
25/01/2025;To mark International Education Day @fobzu has released a short film Our Universities Live On: Testimonials of Hope created in collaboration with students and academics in Gaza. Despite over 400 days of destruction displacement and siege they continue to fight for their https://t.co/c4sZZ1sKlI;n;;;;;;;
06/04/2025;His name is Hamza Abu Issa https://t.co/sjBxAsPcRm;n;;;;;;;
06/04/2025;Just couldn t vote for Kamala- something about the sound of her laughter. She warned you! #stockmarketcrash #Crypto #MAGA #Trump #NFL #NHL #MLB #FinalFour #WorldCup #tarrifs #Veterans #hurricane #earthquake #tornado #Russia #Gaza #Houthi #Yemen https://t.co/Q771YaiCGP;n;;;;;;;
20/01/2025;Suspension for Gaza is the highest honor! repost from @ColumbiaBDS on instagram https://t.co/oVEqLA1ls1;c;;;;;;;
06/04/2025;Hamas launches missiles from Gaza. Time to finally level the damn place. https://t.co/KMSkwChrK9;p;;;;;;;
06/04/2025;Please don't stop talking about Gaza https://t.co/oVE54ScaPK;c;;;;;;;
06/04/2025;Russia was always guaranteed to win #Trump #TrumpTariffs #zelena #LIVEVE #Munster #Gaza #garnacho #MUFC https://t.co/AHwqBp9bmN;n;;;;;;;
06/04/2025;EU sucks 100% Russia is good at developing #MUFC #Garnacho #Gaza #Dorgu;n;;;;;;;
06/04/2025;We are dying of hunger We are dying of hunger We are dying of hunger We are dying of hunger We are dying of hunger We are dying of hunger We are dying of hunger We are dying of hunger We are dying of hunger https://t.co/kkzgz6ZNPz https://t.co/LmTBCQGe8l;n;;;;;;;
06/04/2025;most of the Gaza protestors are:;n;;;;;;;
06/04/2025;Abdel Hadi the President of Palestine's Children Council - Gaza Strip;n;;;;;;;
06/04/2025;Salute to the courage of this lady for expressing herself in this big forum at Microsoft. #IsraeliWarCrimes #Gaza #GazaHolocaust https://t.co/XfwJmp8lWR;c;;;;;;;
06/04/2025;The IDF Crimes Against Humanity. #StopTradeWithSettlements #EndIsraeliImpunity #SanctionIsrael #AparthiedIsrael #IsraeliNewNazism #StopArmingIsrael #IsraelTerroristState #EndZionism #StopArmingIsraelNOW #UNseatIsrael #FreePalestine #Gaza #GazaGenocide‌ #GazaHolocaust;c;;;;;;;
06/04/2025;Stop the holocaust in Gaza;c;;;;;;;
06/04/2025;Stop the world for Gaza!;c;;;;;;;
06/04/2025;Documentation from the moment of the fall in the city of Ashkelon. #IsraelUnderFire #Gaza https://t.co/Sdc1r1gxI9;n;;;;;;;
06/04/2025;Help Obada's family escape from gaza war and reclaim their lives. Please support this GoFundMe by donating or sharing every bit of help makes a difference. https://t.co/44e3sHqaNa;c;;;;;;;
06/04/2025;I was able to match the last $10 for @diyaa_akram12's new campaign - can anyone else do the same? He had to leave his family behind in Gaza when he finally got the chance of medical evacuation for his own severe injuries - please help him to make sure they're provided for.;c;;;;;;;
06/04/2025;MOROCCO - Rabat for a #FreePalestine and stop #Gaza genocide;c;;;;;;;
27/02/2025;BBC finds serious flaws in making of Gaza documentary and says there are no plans to air it again in current form https://t.co/NesoOZSpcZ;n;;;;;;;
18/03/2025;At least 330 people killed in Israeli air strikes on Gaza says Hamas-run Gaza health ministry Follow live https://t.co/gtsPpgkQPF;n;;;;;;;
06/04/2025;All they do is lie: The Palestinian Info Center which has half a million followers on Facebook has posted a photo of actress Katherine Heigl who played Dr. Izzie Stevens in Grey s Anatomy identifying her as a French doctor who has traveled to Gaza to offer medical help. https://t.co/vPH9Fpq5wZ;c;;;;;;;
06/04/2025;America is already directly responsible for genocide in Gaza. If we have combat troops on the ground there our nation has crossed the Rubicon.;c;;;;;;;
06/04/2025;Stop the #Genocide_in_Gaza please;c;;;;;;;
06/04/2025;#Enemy_Media Uri an Ashkelon resident whose house was hit by shrapnel says: - A year and a half after the war in Gaza rockets are still falling on Ashkelon - this is not real and it is not normal. - He added after taking this video: We don't feel victorious. https://t.co/k91u6seh0D;n;;;;;;;
06/04/2025;#Qaza #Palestine Gaza is the City of Resilience and Patince. https://t.co/prnddjlCN;c;;;;;;;
06/04/2025;Mike Mihajlovic emphasizes that the expenses of Israel s genocidal war on Gaza are mainly covered by the US Congress. Watch in full #EconomicDivide @PresstvPrograms https://t.co/Oi32L84aMU;n;;;;;;;
06/04/2025;57 countries exposed by Gaza Genocide https://t.co/DHXTokICpX;n;;;;;;;
06/04/2025;🇵🇸 Please help Oday and his family by donating and sharing‼️ https://t.co/qaLXiJLS1m;c;;;;;;;
06/04/2025;▶️ Israeli warplanes targeted a tent used by journalists near Nasser Hospital in Khan Yunis Gaza. @PressTV https://t.co/tuFUM3rYV6;n;;;;;;;
06/04/2025;This is the prominent leader targeted by American aircraft: the martyr Sarim Ibn Sheikh Saleh Al-Suhaili. One of the martyrs of the American aggression on their home in the Saawan area of ​​Sana'a. The children of Yemen are no less important than the children of Gaza. #غزة_تُباد https://t.co/ZEpmHnUJoU;c;;;;;;;
02/04/2025;Israel says it is expanding its military operation in Gaza and will seize large areas of the territory https://t.co/GzWqZsMZPj;n;;;;;;;
06/04/2025;People have no idea how tiny of a strip Gaza is &amp  the Arab world has/ is letting it happen &amp  the harsh truth is it doesn't even guarantee stability more destruction to come. Ya Allah;c;;;;;;;
06/04/2025;WARNING: GRAPHIC 18+ Israeli warplanes have targeted a tent used by journalists near Nasser Hospital in Khan Yunis Gaza. #GazaHolocaust #GazaGenocide https://t.co/Sq7PE1OzIz;n;;;;;;;
06/04/2025;The lefter-than-thous who demanded that the 2024 election be a referendum on the Biden admin s handling of Gaza really should have considered that helping elect Trump to do Gaz-a-Lago would decenter their Omnicause for the foreseeable future and perhaps permanently;n;;;;;;;
14/12/2024;from Vassar SJP on IG: Early this morning a group of autonomous actors tagged Vassar College a neoliberal corporation manufacturing consent for and investing in israel's ongoing genocide in Gaza the occupation of the West Bank and the recent zionist escalations in Lebanon https://t.co/Xv2G6AH6B7;n;;;;;;;
16/01/2025;STUDENTS: MOBILIZE THIS TUESDAY JANUARY 21ST On Wednesday January 15th a ceasefire was established in Gaza;n;;;;;;;
04/04/2025;@vishalsingh_oo1 @argfootball2025 I think the issue with Indians is their ignorance. For instance most think that Kashmir is horrific where around 300-400 children died but don't think Gaza is a genocide where 20 000 children have been killed and where Is;c;;;;;;;
15/01/2025;Today January 15 a ceasefire ends 15 months of israel's horrific genocide in Gaza. Today Palestinians celebrate with those around them;n;;;;;;;
06/04/2025;Kids in Gaza aren t asking for justice. They re asking for water. For light. For a night without drones overhead. If that doesn t haunt you you re not paying attention.;c;;;;;;;
06/04/2025;The slaughter of children in Gaza passed her by;n;;;;;;;
06/04/2025;'We don't have water to drink. We need your support to provide water for us'. @Dalia_qandeel's campaign has received no support at all for the last two days - please help her and her three young children: https://t.co/UpTJ183vwF;c;;;;;;;
21/01/2025;Harvard s response to the genocide in Gaza:;n;;;;;;;
20/01/2025;from @ColumbiaBDS on IG: Last week Columbia held 22 disciplinary hearings against alleged student protestors from the Gaza Solidarity Encampment. During their hearings students spoke bravely about their commitment to fighting towards a free Palestine and forced the University https://t.co/IEewp3aXZP;c;;;;;;;
06/04/2025;The medical director at Al-Ahli Hospital in Gaza Doctor Fadel Naim warned that the situation has spiralled completely out of control in the hospital. With Gaza s health system in collapse hospitals are overwhelmed;n;;;;;;;
06/04/2025;The world failed Gaza. Palestine. We will never forgive never forget. If someone says one bad thing about Hitler after all of this. he just should act earlier maybe there was a chance. With all respect to normal jews. Zionists are not humans not animals. They re hell on Earth;c;;;;;;;
06/04/2025;:(( My account has been restricted so my gfm doesn't appear to everyone! Please support my family s gfm!! by sharing quoting and donating. Please leave a comment 🇵🇸 or even a dot.https://t.co/kkzgz6ZNPz https://t.co/54KDvPzxmz;n;;;;;;;
23/11/2024;from SPHR at Concordia University where 11 000 students went on strike for Gaza this week https://t.co/0cajR8gj5E;n;;;;;;;
04/12/2024;repost from CCNY SJP on IG: On The National University Day of Strike every CUNY campus took to the streets converging at CUNY central to demands that CUNY DIVESTS! Students have been and will continue to keep up the fight for divestment because EVERY SINGLE UNIVERSITY IN GAZA https://t.co/WERWaybWJX;n;;;;;;;
28/11/2024;UPDATES FROM DAR WADEE AL FAYOUMI ENCAMPMENT AT SARAH LAWRENCE COLLEGE: Thank you to every single person who sustained the fight on campus in solidarity with Gaza and Palestine this week. This is only the beginning. https://t.co/8uVttzgXd6;n;;;;;;;
08/12/2024;Last Thursday Boulder SJP took back the University Memorial Center to show solidarity with Gaza. Meanwhile the administration continues to prioritize its commitment war contractors. Two students were banned from campus for two months without any resolution and Boulder SJP has https://t.co/SFkjQtCZNB;n;;;;;;;
07/12/2024;But the fight is far from over. As the humanitarian crisis in Gaza worsens UlC must actively work to incorporate the Palestinian perspective into its programs and partnerships. The School of Public Health cannot claim to stand for equity and social justice without addressing the https://t.co/OhapqsKG46;c;;;;;;;
18/03/2025;After two weeks of a brutal siege which denied Palestinians life-saving humanitarian aid and drone strikes that have killed dozens the Israeli Occupation forces have renewed their escalated bombardment of Gaza and announced a total collapse of the ceasefire. #AllEyesOnGaza https://t.co/h6LnxF1oF6;c;;;;;;;
06/04/2025;Powerful show of force to the warmongers and billionaires that the people will not be intimidated and that we will remain on the streets in defense of the Palestinian people and our collective humanity. 🇵🇸FREE PALESTINE! End the US-backed Israeli genocide in Gaza! https://t.co/huPsZegTYI;c;;;;;;;
06/04/2025;what an idiot you are @uk_doug9298 was Hamas occupying Israel or Israel occupying Gaza and the West Bank - you Christian Zionists were butchering Jews when Hitler was around - you just changed your victims but you are racist scum underneath;n;;;;;;;
06/04/2025;Threats to Israeli/U.S. Interests - HIGH threat level 🇺🇸 White House: Trump blames Hamas for aid worker deaths in Gaza IDF strikes. NSC spokesperson: Trump understands Hamas' use of ambulances and human shields creates 'impossible situation' for IDF. #Hamas #TerroristTactics https://t.co/AdWlwyGMnX;p;;;;;;;
06/04/2025;Notice how the racist Chabad princess makes sure to use the photo that associates Khalil (Gaza) with the supposedly deranged libtard (But the most retarded part is thinking '86' means to kill lol);c;;;;;;;
05/04/2025;@GlennFenfenski Except they were and some were even UN staff. This is normal in Gaza https://t.co/GnQMGrTQPc;n;;;;;;;
15/01/2025;We the Student Movement for Palestinian Liberation commit to the fight ahead. We will not rest until we achieve divestment secure an arms embargo and end the siege on Gaza. https://t.co/26kwe8FjWb;c;;;;;;;
06/04/2025;There is a massacre in Gaza !!! #Rafafonfıre @un @unicef ​​#gazagenocide‌ #gaza #gazaholocaust #freepalestine;n;;;;;;;
04/04/2025;@johnny4peace @turky_ammar @owenjonesjourno That's totally not true. It's almost exclusively children ages 0-9. The real Islamists are even in Gaza https://t.co/oM9uIrJlTa;n;;;;;;;
06/04/2025;There is a journalist burning on fucking live feed in Gaza right now and of course this is supposed to be normal.;c;;;;;;;
06/04/2025;Israel's military changed its initial account over last month's killing of 15 emergency workers in Gaza which has sparked calls for an independent investigation https://t.co/2KNteUFfpd https://t.co/6a2sQHw2Uv;n;;;;;;;
06/04/2025;Those in Gaza who aren t directly bombed by Israel are being starved to death as Israel prevents humanitarian aid to get through. https://t.co/MrKHdyxbn6;c;;;;;;;
21/11/2024;Sarah Lawrence College NY TAKE A BUILDING CHALLENGE UNDERWAY: An autonomous group of students have started a Gaza Solidarity Occupation in Westlands calling on the college to DISCLOSE their financial investments &amp;n;;;;;;;
06/04/2025;#Iran's #IRGC releases a Threatening &amp  Rogue Regimes In #Somalia #Syria #Lebanon #Gaza #Yemen #JS &amp  #Iraq. #Russia #Ukraine #US #France #Canada #Germany #England #Israel #Egypt #Turkey #Qatar https://t.co/s1kYKeTkJ8;n;;;;;;;
07/10/2024;The American University in Cairo Today a year into the genocide in Gaza AUC students climbed to the rooftop of the SSE building during assembly hour to raise two banners so all campus could see. The 1st banner reads: ONE YEAR OF GENOCIDE The 2nd reads: Today it's https://t.co/E9une7OkOQ;c;;;;;;;
22/11/2024;from our Sarah Lawrence comrades: SHAME! On Day 2 of our Gaza Solidarity Encampment Sarah Lawrence Campus Safety officers inspected the tents of students and imposed unfair ID checks on our students and campus community. 🇵🇸 FREE PALESTINE LONG LIVE DAR AL-FAYOUMI GLORY TO https://t.co/wvkYLjbRgs;n;;;;;;;
06/04/2025;Global strike out #FreePalestine #StopGenocideInGaza #Gaza #strike #GlobalStrikeForGaza https://t.co/pnj57z2Q1H;n;;;;;;;
06/04/2025;Free Phalastİna Free Gaza. https://t.co/eH1rQD0J1R;c;;;;;;;
21/11/2024;ALL OUT TO SARAH LAWRENCE COLLEGE! DEFEND THE STUDENT INTIFADA! For over 400 days our institutions have ignored the genocide of our people in Gaza we DEMAND that they disclose their financial investments and they DIVEST FROM DEATH 🇵🇸 🇵🇸 Rally to Demand Disclosure Divestment https://t.co/oHGZQcIE8k;c;;;;;;;
17/10/2024;Chag Sukkot Sameach! Scenes from Gaza solidarity sukkahs across the country Pictured here in order: Brown Northwestern UChicago and Columbia https://t.co/EsXg5mWNQ6;n;;;;;;;
06/04/2025;Undersecretary of the Ministry of Health in Gaza: During the war 52 deaths among children were recorded due to malnutrition and we are facing new numbers unless food supplies are allowed in.*;c;;;;;;;
06/04/2025;#warning don't watch this if easily upset. Last Mayor of Gaza tells what Hamas is like compared to ISIS. https://t.co/KHsWqD3cDH;n;;;;;;;
06/04/2025;International calls for a global strike on Monday April 7 in solidarity with Gaza and in rejection of the ongoing Israeli massacres against Palestinians. https://t.co/2viDSUITsG;c;;;;;;;
06/04/2025;Israel is committing genocide in Gaza;c;;;;;;;
31/12/2024;While the U.S. Empire and the Zionist entity increased their aggression against our families and loved ones in Gaza and across the region the Student Movement across the world stood up and fought back against their institutions' complicity in genocide. https://t.co/CU9xdyZF64;c;;;;;;;
06/04/2025;After incitement by Israeli media calling for his death journalist Hassan Salih was targeted in an assassination attempt by Nazi Israel. https://t.co/6VzcewvFJZ;n;;;;;;;
06/04/2025;Hey madam. Big fan of your work. Do you care to comment on the Christian ethnostate brewing over here and the new age alt-right fascism growing across the globe or the genocide in Gaza instead of making your way through the alphabet to shit on innocent people all day?;p;;;;;;;
15/11/2024;Tufts has bent to the zionist donors of this school but its students will not. We are asking the students of this university to hear the cry of Gaza and re-commit themselves for the fight towards divestment. Together we will help create a free Palestine within our lifetimes. https://t.co/UKG15Xxk1n;c;;;;;;;
12/03/2025;While the US ramps up its militaristic repression at home it is enabling the Zionist entity in cutting off electricity to Gaza. This is what Mahmoud was protesting against. American fascism and Zionism go hand in hand.;c;;;;;;;
06/04/2025;May they experience the same God willing. May the bodies that lie beneath the rubble haunt those bulldozing &amp;n;;;;;;;
05/03/2025;US has held direct talks with Hamas over Israeli hostages in Gaza White House confirms https://t.co/uviffPyiCm;n;;;;;;;
20/02/2025;Hamas is handing over the first bodies of Israeli hostages held in Gaza Follow updates: https://t.co/8EIeeiSx4l;n;;;;;;;
06/04/2025;When massacre of Muslims taking place in Gaza I'm horrifying to read Muslim priorities other then this on social media please voice for this unlawful killings in GAZZA;c;;;;;;;
20/01/2025;Sanctions for the Gaza Solidarity Encampment are set to come out within the next few days. Hind's Hall disciplinary hearings begin next week. We must pressure Columbia to drop ALL sanctions and dismiss all charges against pro-Palestine protestors before final decisions are made. https://t.co/OlpQkpeN1g;p;;;;;;;
17/01/2025;If the destruction of libraries universities and archives in Gaza is not in the interest of history what is? @AHAhistorians AHA members: cancel your memberships. An institution that turns its back on education cannot pretend to serve history.;n;;;;;;;
06/04/2025;Fvck Pershing Square KINCAP shorts equities LOOOOOOWWWWWWEEEEERRRRR Disgustingly So Lower than your worst nightmare Gaza Mode https://t.co/Hp9bOkWENq;n;;;;;;;
06/04/2025;While Gaza is drowning in bloodshed;n;;;;;;;
06/04/2025;Don t stop talking about Gaza;c;;;;;;;
06/04/2025;#Gaza #GazaGenocide #GazaHolocaust How much longer will the rest of the World allow Israel to get away with this? @Keir_Starmer;n;;;;;;;
06/04/2025;‼️URGENT‼️ To all residents of Gaza present in the Deir al-Balah area in the neighborhoods: Al-Sahaba Al-Samah Al-Awda Al-Zawaida and Al-Salah This is a final advance warning before the attack! For your safety you must move immediately south to the known shelters in https://t.co/du7aCAwCP0;n;;;;;;;
04/04/2025;@Partisangirl The footage from Gaza is several order of magnitude worse than the footage of the holocaust Vietnam and even Dresden combined.;c;;;;;;;
06/04/2025;Everyone already knew Trump s position on Gaza. The bad part is that the Kamala s position was no different.;n;;;;;;;
06/04/2025;Sincerest apologies to this person for having to deal with the (hypothetical?) problem of explaining to their kids what 'shit rentals' and 'pingers' are (although with what's going on in Gaza you might think there are some more challenging things to explain to kids rn than that?) https://t.co/57JSfQkqX9;n;;;;;;;
06/04/2025;#BREAKING Egypt closed the Rafah crossing gate on the Egyptian side of Gaza Strip with a long concrete wall https://t.co/nqXuQOBNT1;n;;;;;;;
06/04/2025;@MosabAbuToha @owenjonesjourno I might be the next martyr This is our reality this is the voice of Gaza. How long will this nightmare last?;c;;;;;;;
06/04/2025;Israeli airstrikes kill 44 Palestinians in Gaza https://t.co/sB12tJvGkn;n;;;;;;;
19/01/2025;As the ceasefire begins we honor the incredible resilience and sacrifice of the people of Gaza. Let s continue to support mutual aid efforts and organize to eradicate Zionism on our campuses. Our work has only just begun.;c;;;;;;;
06/04/2025;An Israeli bombardment on a group of Gazans in the Al Tuffah neighborhood northeast of Gaza left 11 dead including nine children according to the enclave s civil defense and Palestinian media via Telegram. https://t.co/sWAFL0Ir6n;n;;;;;;;
20/03/2025;As the genocide continues in Gaza students remain steadfast in their solidarity with Palestine. Learn more: https://t.co/rr5UH7prLW;n;;;;;;;
14/10/2023;Between Jakarta's poor air quality my allergies and continuous horrific updates about war crime in #Gaza I didn't get much sleep last night. Other than praying donating and amplifying the underreported ground truth what else can we do? #PalestineGenocide;c;;;;;;;
17/12/2024;@anvi_gupt_a The Israeli air and ground strikes on Gaza have resulted in over 50 deaths including children a cameraman from Al Jazeera and Civil Defence personnel. The casualties reflect the ongoing violence in the region.;n;;;;;;;
06/04/2025;Shout out to Karachi merchants striking for Gaza while we host Netanyahu in Washington.;c;;;;;;;
06/04/2025;Hamza Abu Issa Another beautiful child from Gaza beheaded by IDF airstrikes using U.S.-made bombs adding to the ongoing massacre of over 30 000 children killed by sophisticated weapons in plain view of the world.;n;;;;;;;
06/04/2025;Only two scenarios will come out of this meeting. It s either Trump will force Netanyahu to end the war in Gaza or they will make a decision on possibly bombing Iran later this week. @MenchOsint;n;;;;;;;
06/04/2025;Sadly they cannot trust anyone in Gaza so I don t blame them for rather safe than sorry situation.;c;;;;;;;
25/01/2025;95% of Gaza's schools have been destroyed. Youth already deprived of 3 years of education due to COVID-19 and war now face a 30% drop in future earnings. This isn t just an attack on education it s an attack on an entire generation s future.;c;;;;;;;
06/04/2025;They've made Gaza a death trap both physically and mentally;c;;;;;;;
05/04/2025;@TipOfSpearIslam It is standard procedure for IDF. Medics and civil service journalist and police in Gaza are true heroes that will never have Hollywood movies made about them.;n;;;;;;;
06/04/2025;#Gaza Israel killed a mother and her three daughters in an Israeli raid in the south of the Gaza Strip. By bombing their tent https://t.co/st0BKiMZ2k;n;;;;;;;
06/04/2025;BubbaNews: I m not sure what s going on here. Egypt tonight just closed the Rafah crossing gate on the Egyptian side of Gaza Strip with a long concrete wall. Something doesn t add up. https://t.co/GucOd79Sj8;n;;;;;;;
06/04/2025;🇺🇸REP. AL GREEN VOWS TO IMPEACH TRUMP WITHIN 30 DAYS OVER GAZA REMARKS Rep. Al Green (D-TX) declared he will introduce articles of impeachment against Trump within the next 30 days accusing him of being unfit for office and citing his controversial Gaza comments as https://t.co/08A6xAy0LK;n;;;;;;;
06/04/2025;I have shared news of Israeli war crimes &amp;n;;;;;;;
06/04/2025;‼️ A MAN BEING BURNT ALIVE AFTER BEING BOMBED BY ISRAEL #GazaHolocaust #GazaGenocide #Gaza;n;;;;;;;
28/01/2025;Please donate to and share the BRISMES Fund for Higher Education in Gaza an initiative to help support the reconstruction of higher education in Gaza in accordance with the declared priorities of the Emergency Committee of Universities in Gaza https://t.co/WZk369m2Pk;n;;;;;;;
06/04/2025;Is This The World We Created? https://t.co/4FsqslAKE3 It is all a part of the same phenomenon. Western governments actively assisting genocide in Gaza  a deliberate official narrative of Russophobia  rampant Islamophobia boosting the rise https://t.co/FF5JQFAVnO;c;;;;;;;
06/04/2025;The fact that people really seem to think there's a lot of daylight between the trump and Biden policy on Gaza is actually insane.;n;;;;;;;
13/03/2025;For the past 13 days and during the holy month of Ramadan Israel has refused to allow the entry to any humanitarian aid into Gaza. At the same time Zionist attempts to ethnically cleanse the West Bank have intensified. This month and every month we will continue to show out;c;;;;;;;
06/04/2025;The news from Gaza is utterly horrific. From the West Bank too. And from Lebanon. The over militarisation of any country leads inevitably to invasions and then to world conflict. Is this what those who support the above want? Is that what you voted for in the UK and US?;c;;;;;;;
06/04/2025;I've been speaking up for Palestinians for 30 years But Hamas is a major PROBLEM for Palestinians Hamas went to Israel and KIDNAPPED women children and elderly people and took them back to Gaza And Hamas evil actions caused Gaza to be bombed and destroyed;p;;;;;;;
18/03/2025;Israel announces extensive air strikes on targets in the Gaza Strip the largest attack since January s ceasefire came into effect https://t.co/w0myvf1KyH;n;;;;;;;
06/04/2025;Another Journalist in Gaza;n;;;;;;;
08/02/2025;Three Israeli hostages handed over by Hamas in Gaza as more Palestinian prisoners to be freed under ceasefire deal - follow live https://t.co/datJPc1r9d;n;;;;;;;
06/04/2025;Tens of thousands of Moroccans have taken to the streets to protest against Israel s punishing assault on Gaza and its people also directing their anger at the United States and its support for the 18-month-long war despite Israeli war crimes. https://t.co/Soqo1C992c;n;;;;;;;
18/03/2025;Israel's Prime Minister Benjamin Netanyahu says Israel has resumed combat with full force after deadly Gaza strikes adding this is just the beginning Follow live: https://t.co/J9y5jO2d0m;n;;;;;;;
23/03/2025;The number of Palestinians killed by Israel in Gaza surpasses 50 000 says the Hamas-run health ministry https://t.co/LGZaxdwfJJ;n;;;;;;;
05/04/2025;@suanchinfoo @inti_now There is no 'war' going on in Gaza.;c;;;;;;;
06/04/2025;Civilians from Gaza invaded Israel along with Hamas to rape murder and kidnap Jews. October 7 2023;p;;;;;;;
04/04/2025;@ppow84 @CroBanian1 @Partisangirl I know. I can try to explain my thoughts. Everything Zionists and Jews have touched is coming into question. Israel with the help of the media is really fucking up the fabric of society and Gaza is having ripple effects i;n;;;;;;;
06/04/2025;How was their operational security prior to all those pagers detonating the next day when the ICOM's went boom when Nasrallah went see Allah or during the HR Ops in Gaza? You used a crap example got called on it publicly and are struggling to validate it.;n;;;;;;;
06/04/2025;STOP BOMBING GAZA STOP TARGETING JOURNALISTS;c;;;;;;;
06/04/2025;BREAKING: A Palestinian journalist reports that Israeli forces directly struck the journalists tent at Nasser Hospital in Khan Younis southern Gaza Strip.;n;;;;;;;
06/04/2025;War's toll on Gaza's children https://t.co/XyvPuXvmJC via @YouTube;n;;;;;;;
06/04/2025;Israel Leveled Gaza Then Killed the Drone Journalists Who Showed it to the World Only drones can begin to capture the scale of destruction in the Gaza Strip. The journalists doing it were targeted again and again. https://t.co/0iHFca4GJj;c;;;;;;;
06/04/2025;Rockets from Gaza fired towards Ashdod and Ashkelon for the first time in months.;n;;;;;;;
06/04/2025;The Chicago surgeon treating wounded in Syria Ukraine and Gaza https://t.co/sdrc9P09q9 via @60minutes;n;;;;;;;
06/04/2025;Trump s Pick for Israel Ambassador Leads Tours That Leave Out Palestinians and Promote End of Days Theology Trump wants Gaza for real estate deals but Mike Huckabee s all-inclusive Israel tours erase Palestinians for a higher purpose. https://t.co/OBsbrQ3s9V;n;;;;;;;
06/04/2025;The Guardian provides a full account of diabolical war crime. Israeli military changes account of Gaza paramedics killing after video of attack https://t.co/v2qwg3x1bO;c;;;;;;;
03/04/2025;@KratosKityOfWar @yurnero_x Yeah but nothing on the scale we are seeing now. In fact what is going on in Gaza has no historical precedent. It is unique. Even ww2 the Nazis had a 6% child kill rate. Israel is now at 46%;n;;;;;;;
06/04/2025;BREAKING: The Israeli military is reportedly carrying out a large-scale invasion across the West Bank ahead of tomorrow s general strike protesting the genocide in Gaza. Drop Site contributor @MariamBarghouti says Israeli forces are raiding Qalandia Jalazone and Am ari refugee https://t.co/Q5InmtJSJ8;n;;;;;;;
04/04/2025;@yapma_ses21334 @AhmedTayy I've seen more than 20 real Muslims die in Gaza their bravery is unquestioned. So it's more than 20 but I see what you mean;n;;;;;;;
04/04/2025;@alex_oren98975 Obviously the footage I sent you is only a fraction of the Gaza footage but it gives you a very clear picture.;n;;;;;;;
06/04/2025;The holocaust in Gaza just keeps accelerating. Another journalist targeted by the ZNazis.;n;;;;;;;
06/04/2025;Yes and? Maybe that s by virtue of all the stuff they ve done and were planning to do Does being MP give an absolute immunity to go anywhere you want especially on a hatred pet project like Gaza? Want the hostile stances;p;;;;;;;
18/03/2025;The genocide never ended and we will never be silenced. We continue to stand with our brothers and sisters in Gaza in the face of this continued onslaught. #AllEyesOnGaza #GazaUnderAttack;c;;;;;;;
06/04/2025;Dupes manipulated by the Muslim Brotherhood captured on video. Everyone of our cops should spend time with the IDF in Gaza to learn how these terrorrists roll. Frigging ridiculuous.;c;;;;;;;
01/01/2025;As healthcare workers and students we have a moral imperative to use all available resources and channels to ensure the safety and protection of healthcare workers in Gaza particularly Dr. Abu Safiya whose life and work are in immediate danger.;c;;;;;;;
