conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;;
1711420350536241383,Mon Oct 09 16:36:22 +0000 2023,3316,The world stands with #Israel. 🇮🇱 #IsraelUnderAttack #StandWithIsrael #HamasMassacre https://t.co/qBSFHXzEf7,1711420350536241383,https://pbs.twimg.com/media/F8Avu3pWUAEDxX_.jpg,,en,,42,248,779,https://x.com/undefined/status/1711420350536241383,16314859,;;
1711819942725550428,Tue Oct 10 19:04:13 +0000 2023,7494,Zurich Switzerland stands with #Israel. 🇮🇱 https://t.co/4pPz9oY80L,1711819942725550428,https://pbs.twimg.com/amplify_video_thumb/1711819885746003968/img/cTZkqUw_I_usSkEK.jpg,,en,,33,233,1036,https://x.com/undefined/status/1711819942725550428,16314859,;;
1842635255137640511,Sat Oct 05 18:37:33 +0000 2024,3612,If you stand with Israel. Drop a 🇮🇱 and follow each other. Together we re stronger. https://t.co/cXbI5JiPc4,1842635255137640511,https://pbs.twimg.com/media/GZJa6EnWwAA1R-M.jpg,,en,,38,817,617,https://x.com/undefined/status/1842635255137640511,849150792422522880,;;
1853218100096741386,Sun Nov 03 23:30:00 +0000 2024,9416,Standing with Israel is the most moral choice anyone can ever take. If you support Israel feel free to comment I stand with Israel . 🇮🇱 https://t.co/acL9jy9l4b,1853218100096741386,https://pbs.twimg.com/media/GbflXgxagAApbk4.jpg,,en,,53,937,1468,https://x.com/undefined/status/1853218100096741386,1117210361592205312,;;
1819491654732013863,Fri Aug 02 21:53:09 +0000 2024,5963,We will always stand with #Israel even if the war expands to a comprehensive war because Israel is defending itself and its existence against Islamic terrorism. https://t.co/PofvmHjITR,1819491654732013863,https://pbs.twimg.com/media/GUAiA6mWwAArYrc.jpg,,en,,26,189,917,https://x.com/undefined/status/1819491654732013863,1134119371780104192,;;
1897844669213819294,Fri Mar 07 03:00:04 +0000 2025,3493,This is Israel a tiny dot on the map and the only Jewish state in the world attacked on multiple fronts by radical Islam and terrorist groups surrounding us. Israel is fighting for its entire existence. Standing with Israel is the right thing to do. https://t.co/bXQZ92kJiS,1897844669213819294,https://pbs.twimg.com/ext_tw_video_thumb/1897757957892300801/pu/img/eflwJyGvbp99CmKq.jpg,,en,,48,343,971,https://x.com/undefined/status/1897844669213819294,1117210361592205312,;;
1885754991841059046,Sat Feb 01 18:20:00 +0000 2025,13659,If you're Jewish or are an ally comment below I stand with Israel. Let's unite together on this platform🇮🇱 https://t.co/pGQGTFCZMp,1885754991841059046,https://pbs.twimg.com/media/GitFU0qWQAAXNs3.png,,en,,128,2197,1891,https://x.com/undefined/status/1885754991841059046,1117210361592205312,;;
1711117745373200803,Sun Oct 08 20:33:56 +0000 2023,1445,Puerta del Sol Madrid lit up in support of #Israel. 🇮🇱 #StandWithIsrael https://t.co/uT9WyIXIQm,1711117745373200803,https://pbs.twimg.com/media/F78cg42WUAEGkgl.jpg,,en,,5,38,206,https://x.com/undefined/status/1711117745373200803,16314859,;;
1845196120726597847,Sat Oct 12 20:13:31 +0000 2024,1103,They might try to silence the truth but together we can ensure it s heard. 🇮🇱 Every share every comment helps break the silence. Stand with me stand for the truth! Drop your flag and show your support! 🇺🇸🇬🇧🇨🇦🇫🇷🇦🇺🇩🇪🇮🇹🇧🇷🇮🇳🇯🇵🇵🇱🇺🇦 @daniel02667 #IStandWithIsrael https://t.co/9LafErXVtV,1845196120726597847,https://pbs.twimg.com/media/GZt0FpHXwAgk6h1.jpg,,en,,24,287,392,https://x.com/undefined/status/1845196120726597847,1804690072555683840,;;
1715752303586951196,Sat Oct 21 15:30:00 +0000 2023,5065,SHARE if you support #Israel s right to defend itself! 🇮🇱 #StandWithIsrael https://t.co/61DZNstwFs,1715752303586951196,https://pbs.twimg.com/media/F859MS0W0AA9Ke0.jpg,,en,,69,517,2090,https://x.com/undefined/status/1715752303586951196,16314859,;;
1720046422123327597,Thu Nov 02 11:53:18 +0000 2023,6399,Prague Czech Republic shows unwavering support for #Israel. Watch the spirited gathering at Old Town Square. 🇨🇿🇮🇱 #StandWithIsrael https://t.co/BLqOrXEpqM,1720046422123327597,https://pbs.twimg.com/amplify_video_thumb/1720046365189746688/img/wOOCiQSfFLOMM5HU.jpg,,en,,38,222,1015,https://x.com/undefined/status/1720046422123327597,16314859,;;
1726501630357520738,Mon Nov 20 07:24:00 +0000 2023,513,Back to basics: History can't be rewritten. The #Jewish people are indisputably indigenous to the land of #Israel. Let facts speak louder than any doubt. #StandWithIsrael https://t.co/MwTT6GA9z5,1726501630357520738,https://pbs.twimg.com/ext_tw_video_thumb/1726260023955787776/pu/img/x1zMYF683Fdvw66X.jpg,,en,,27,47,258,https://x.com/undefined/status/1726501630357520738,16314859,;;
1902806027474534418,Fri Mar 21 01:34:45 +0000 2025,30,@RealCandaceO Candace as a Christian you must know how God feels about Israel. He made a covenant with them &amp; 144 000 out of the 12 tribes of Judea &amp; Jews as his chosen ppl. We r supposed to stand with Isreal as part of a covenant with God. Messianic Jews believe Christ was the son of God https://t.co/9QmPDiNHKG,1902896629889339666,https://pbs.twimg.com/media/GmhyZJiXIAAULKr.jpg,RealCandaceO,en,,0,51,1,https://x.com/undefined/status/1902896629889339666,1436040857652711429,
1806643973252960580,Fri Jun 28 11:01:03 +0000 2024,713,#Israel is and always has been the #Jewish people's one and only true home...and that home is now under attack. #StandWithIsrael #IsraelUnderAttack https://t.co/kSLLO9gkMe,1806643973252960580,https://pbs.twimg.com/media/GRJ9HnaXUAAh_LY.jpg,,en,,11,58,181,https://x.com/undefined/status/1806643973252960580,16314859,;;
1713641134918918271,Sun Oct 15 19:40:59 +0000 2023,1299,#Israel is and always has been the Jewish people's one and only true home...and that home is now under dire threat. #StandWithIsrael #IsraelUnderAttack #HamasMassacre #HamasIsISIS https://t.co/N70IaHuSFz,1713641134918918271,https://pbs.twimg.com/media/F8gThj0XUAACx-4.jpg,,en,,16,93,373,https://x.com/undefined/status/1713641134918918271,16314859,;;
1871518688030982407,Tue Dec 24 11:30:01 +0000 2024,4710,Standing with Israel is God's will. Standing with Israel upholds justice and truth. Standing with Israel is a stand against terrorism. Standing with Israel means standing on the right side of history. https://t.co/Cu5IyQFSr4,1871518688030982407,https://pbs.twimg.com/ext_tw_video_thumb/1871510699274330112/pu/img/ZNxAK9z0UCT0QeaL.jpg,,en,,29,444,573,https://x.com/undefined/status/1871518688030982407,1117210361592205312,;;
1846911542987497859,Thu Oct 17 13:50:00 +0000 2024,597,Raise your hand if you stand with Israel. https://t.co/Ni4Fp6MUsy,1846911542987497859,https://pbs.twimg.com/media/GZ9EalyW8AAootq.jpg,,en,,4,109,86,https://x.com/undefined/status/1846911542987497859,849150792422522880,;;
1879970828013785337,Thu Jan 16 19:15:48 +0000 2025,1127,When the world watches in silence will you? Show where you stand. Respond with your flag and let your voice be seen. #StandWithIsrael https://t.co/iozPBrV1vi,1879970828013785337,https://pbs.twimg.com/media/Ghb_gAYXQAAfR13.jpg,,en,,16,386,210,https://x.com/undefined/status/1879970828013785337,1804690072555683840,;;
1907551816880931031,Wed Apr 02 21:52:48 +0000 2025,6,Isreal owned the land first God allowed foreign invaders in because of their unbelief. Palestine was the name enemies of Isreal gave them to mock them (it means Philistines in Latin) Isreal is God s people I will stand with them and I will pray they repent and turn back!,1907551816880931031,,,en,,0,1,1,https://x.com/undefined/status/1907551816880931031,1398830504007323652,;;
1834993007814168778,Sat Sep 14 16:30:00 +0000 2024,1845,Standing with Israel is God's will. Israel is here to stay. https://t.co/EZEmLP2utk,1834993007814168778,https://pbs.twimg.com/media/GXa_SnhWYAE3KgM.jpg,,en,,17,211,394,https://x.com/undefined/status/1834993007814168778,1117210361592205312,;;
1841290774077415536,Wed Oct 02 01:35:04 +0000 2024,16220,Just as the world begins to pressure us to stop help fight for the free world s battle. Drop your flag and our flag in the comments to show your support! 🇮🇱 #StandWithIsrael #SupportIsrael https://t.co/E3t9kv9u8o,1841290774077415536,https://pbs.twimg.com/media/GY2UIGzXkAIEzTc.jpg,,en,,189,5161,2102,https://x.com/undefined/status/1841290774077415536,1804690072555683840,;;
1838171125550829747,Mon Sep 23 10:58:42 +0000 2024,1102,🇮🇱 SHARE if you support #Israel's right to defend itself from terrorism 🇮🇱 https://t.co/7KAR04Wj6a,1838171125550829747,https://pbs.twimg.com/media/GYJ-4mwWEAEOtcD.jpg,,en,,7,86,312,https://x.com/undefined/status/1838171125550829747,16314859,;;
1718864149277487281,Mon Oct 30 05:35:22 +0000 2023,717,Israel has not only the right but the duty to defend itself and its citizens. #StandWithIsrael #IsraelUnderAttack #HamasMassacre #HamasIsISIS #FreeGazaFromHamas https://t.co/UNtW7gLqpz,1718864149277487281,https://pbs.twimg.com/media/F9qh1MYWsAAR7NM.jpg,,en,,4,107,189,https://x.com/undefined/status/1718864149277487281,16314859,;;
1720349090133987496,Fri Nov 03 07:56:00 +0000 2023,528,A disturbing message in Las Vegas: A stark reminder of rising #antisemitism and the urgent need for unity against hate. Via: Gal Adiv #StandWithIsrael https://t.co/bEqNeV5Pfi,1720349090133987496,https://pbs.twimg.com/ext_tw_video_thumb/1720152858727780352/pu/img/4oU88nfvwdDSIq7x.jpg,,en,,14,112,257,https://x.com/undefined/status/1720349090133987496,16314859,;;
1803412601101074654,Wed Jun 19 13:00:44 +0000 2024,305,#Hezbollah is leading the area to #war. #Israel has every right to defend itself. #IsraelUnderAttack https://t.co/bxArrvtMO8,1803412601101074654,https://pbs.twimg.com/media/GQcCM_MXUAAW14U.jpg,,en,,7,26,152,https://x.com/undefined/status/1803412601101074654,16314859,;;
1779281629778682352,Wed Mar 26 23:13:44 +0000 2025,92,@ValentinaForUSA Go stand with Isreal in Isreal. https://t.co/jGFXn4L7m8,1905035468074610939,https://pbs.twimg.com/media/GnALqa4bcAAeXSg.jpg,ValentinaForUSA,en,,0,0,5,https://x.com/undefined/status/1905035468074610939,1008194356044427264,;;
1843181350737842316,Mon Oct 07 06:47:33 +0000 2024,322,I Stand with Israel 🇮🇱 #StandWithIsrael https://t.co/cYVgMV5qN0,1843181350737842316,https://pbs.twimg.com/media/GZRLqvwXEAARLpo.jpg,,en,,3,11,102,https://x.com/undefined/status/1843181350737842316,1545641118901182465,;;
1861921185681862982,Wed Nov 27 23:52:58 +0000 2024,1529,Stand with Israel. For our people our land and our future. Together we defend freedom and unity. 🇮🇱 Share and comment with a flag to show your support! 🇮🇱 https://t.co/cQZI7k3PaJ,1861921185681862982,https://pbs.twimg.com/media/GdbfcqXWEAABj7d.jpg,,en,,13,258,289,https://x.com/undefined/status/1861921185681862982,1804690072555683840,;;
1878774000249094276,Mon Jan 13 12:00:02 +0000 2025,2389,This is Israel a tiny dot on the map and the only Jewish state in the world attacked on multiple fronts by radical Islam and terrorist groups surrounding us. Israel is fighting for its entire existence. Standing with Israel is the right thing to do. https://t.co/71lJPn75fL,1878774000249094276,https://pbs.twimg.com/ext_tw_video_thumb/1878675689680818176/pu/img/vl0RJDbDLfi4vaiV.jpg,,en,,48,322,815,https://x.com/undefined/status/1878774000249094276,1117210361592205312,;;
1717624386146984248,Thu Oct 26 19:29:00 +0000 2023,3116,Princeton University stands with #Israel. 🇮🇱 https://t.co/zfdOsOx8Tm,1717624386146984248,https://pbs.twimg.com/media/F9YQB-kXoAAwPFO.jpg,,en,,15,296,576,https://x.com/undefined/status/1717624386146984248,16314859,;;
1726954615332049404,Tue Nov 21 13:24:00 +0000 2023,457,Israel does everything it can to protect innocent lives. #Hamas does everything it can to end them. #StandWithIsrael #FreeGazaFromHamas https://t.co/1xTwUMHZBl,1726954615332049404,https://pbs.twimg.com/ext_tw_video_thumb/1726643623578537984/pu/img/36HXCj6rHE-sFVPy.jpg,,en,,15,44,165,https://x.com/undefined/status/1726954615332049404,16314859,;;
1711437214062670182,Mon Oct 09 17:43:23 +0000 2023,1385,Czech Republic stands in solidarity with #Israel. 🇮🇱️ https://t.co/g4d5QnrFk7,1711437214062670182,https://pbs.twimg.com/media/F8A_EoYWgAAH0pN.jpg,,pl,,5,25,214,https://x.com/undefined/status/1711437214062670182,16314859,;;
1724978343253082621,Thu Nov 16 02:31:00 +0000 2023,288,In these dark times remember #Israel is NOT alone. 🇮🇱 #StandWithIsrael https://t.co/P2Po8lqDwV,1724978343253082621,https://pbs.twimg.com/amplify_video_thumb/1724843007420092416/img/r78zSCEUjLTdgyjK.jpg,,en,,4,31,65,https://x.com/undefined/status/1724978343253082621,16314859,;;
1755786596568182891,Fri Feb 09 02:52:00 +0000 2024,1573,When you stand with #Israel and against #Hamas you are standing with democracy and against those forces that threaten to destroy it. https://t.co/IrpH8h6T1C,1755786596568182891,https://pbs.twimg.com/media/GF2hrvFW0AAUSum.jpg,,en,,24,627,392,https://x.com/undefined/status/1755786596568182891,16314859,;;
1753057247750455779,Thu Feb 01 14:06:32 +0000 2024,477,This is #Israeli resilience embodied: even in the midst of war - a war that was forced upon the people of #Israel by a genocidal terrorist organization - love triumphs over all. Am Yisrael Chai. 🇮🇱 https://t.co/j8s1uCwLGj,1753057247750455779,https://pbs.twimg.com/media/GFQcQbcWoAEY6_7.jpg,,en,,10,88,79,https://x.com/undefined/status/1753057247750455779,16314859,;;
1713583456607703519,Sun Oct 15 15:51:47 +0000 2023,442,This is the unfathomable reality for countless children in #Israel right now. #StandWithIsrael #IsraelUnderAttack #HamasMassacre #HamasIsISIS https://t.co/rJFCy8agCR,1713583456607703519,https://pbs.twimg.com/media/F8ffEZ2XcAEuoHy.jpg,,en,,6,66,174,https://x.com/undefined/status/1713583456607703519,16314859,;;
1712363870025568741,Thu Oct 12 07:05:35 +0000 2023,453,WATCH: StandWithUs CEO and Co-Founder @RozRothstein's impassioned speech during a Beverly Hills rally in solidarity with #Israel. Am Yisrael Chai. 🇮🇱 #StandWithIsrael #IsraelUnderAttack #HamasMassacre https://t.co/Di0EbHmrHn,1712363870025568741,https://pbs.twimg.com/media/F8OiDACWQAAgF8q.jpg,,en,,3,48,119,https://x.com/undefined/status/1712363870025568741,16314859,;;
1898441086009270398,Sat Mar 08 18:30:00 +0000 2025,81,Hamas is expanding. Now on college campuses in the U.S. This terror group must be destroyed. The U.S. must stand with Isreal to defeat these barbarians. https://t.co/zIvPc4Bmg1,1898441086009270398,https://pbs.twimg.com/ext_tw_video_thumb/1898439894801776640/pu/img/4vVllTUZ64kZ4WBW.jpg,,en,,0,12,21,https://x.com/undefined/status/1898441086009270398,14559721,;;
1783778241825665161,Fri Apr 26 08:40:48 +0000 2024,1133,United with Israel March led by Christian organizations at Columbia University.⠀ #BringThemHome⠀ : Liora Lerner https://t.co/lsPNS9zeUG,1783778241825665161,https://pbs.twimg.com/media/GMFAzifW4AAc60i.jpg,,en,,10,63,255,https://x.com/undefined/status/1783778241825665161,16314859,;;
1789135872790528510,Sat May 11 03:30:07 +0000 2024,653,Israel is and always has been the Jewish people's one and only true home...and that home is now under dire threat. #StandWithIsrael #IsraelUnderAttack #HamasMassacre https://t.co/e87EwTc1Bb,1789135872790528510,https://pbs.twimg.com/media/GNRJmCUW0AAFEAy.jpg,,en,,12,83,135,https://x.com/undefined/status/1789135872790528510,16314859,;;
1766499033818771578,Sat Mar 09 16:19:24 +0000 2024,792,Another I Stand With Israel follow each other pinned post As the last one was successful with over 1 000 comments I want to use this platform to unite all of us together. I am pinning this post for 2 days. Show your presence follow each other we are stronger together https://t.co/MPrZsH4EsW,1766499033818771578,https://pbs.twimg.com/media/GIPdgXtW8AAi7gh.jpg,,en,,9,165,202,https://x.com/undefined/status/1766499033818771578,1117210361592205312,;;
1720820387401859326,Sat Nov 04 15:08:46 +0000 2023,436,WATCH: Here s what you can do to help the people of #Israel in the wake of Hamas atrocities and the ensuing anti-Israel hatred. (Visit https://t.co/uwYHs5w5wt for more) https://t.co/EOAuD6z91G,1720820387401859326,https://pbs.twimg.com/amplify_video_thumb/1720820041971572736/img/HqlTQO7Awv-zNiT5.jpg,,en,,23,117,230,https://x.com/undefined/status/1720820387401859326,16314859,;;
1850492279686942932,Sun Oct 27 10:58:34 +0000 2024,3248,Israel is not just fighting for its survival but also against the enemies of civilization completely alone. Now more than ever everyone should stand with Israel unwaveringly. https://t.co/gPxvaW04tP,1850492279686942932,https://pbs.twimg.com/media/Ga5E6izW4AEBI_G.jpg,,en,,40,459,845,https://x.com/undefined/status/1850492279686942932,1117210361592205312,;;
1724124718242918436,Mon Nov 13 17:59:00 +0000 2023,701,StandWithUs Midwest chapter organized for hundreds of people to peacefully came out to support Israel in Northbrook Illinois on November 12 in response to a pro-#Hamas rally. Am Yisrael Chai. 🇮🇱 #StandWithIsrael https://t.co/wK0TV34ozh,1724124718242918436,https://pbs.twimg.com/media/F-yIA9PXwAADrPH.jpg,,en,,2,55,133,https://x.com/undefined/status/1724124718242918436,16314859,;;
1820897933727875347,Tue Aug 06 19:01:12 +0000 2024,236,Supporting #Israel means supporting humanity. Speaking out against #Hamas terrorism means supporting humanity. #StandWithIsrael https://t.co/J77yjLoY87,1820897933727875347,https://pbs.twimg.com/media/GUUhBV_XUAAzUV3.jpg,,en,,3,18,52,https://x.com/undefined/status/1820897933727875347,16314859,;;
1905608065094758597,Fri Mar 28 13:13:39 +0000 2025,6,@LionsOfZion_ORG I stand with Isreal! https://t.co/Jn2rpBDcvW,1905609231689998589,https://pbs.twimg.com/media/GnIVf12XMAIAbRx.jpg,LionsOfZion_ORG,en,,0,0,0,https://x.com/undefined/status/1905609231689998589,1729225862589939713,;;
1711541671031386579,Tue Oct 10 00:38:27 +0000 2023,922,The White House lit up in blue and white in solidarity with Israel tonight. The U.S. stands with the people of Israel 🇺🇸 🇮🇱 #StandWithIsrael https://t.co/0AooHgWkUF,1711541671031386579,https://pbs.twimg.com/media/F8CeE5YWwAAqUyv.jpg,,en,,8,31,138,https://x.com/undefined/status/1711541671031386579,16314859,;;
1721331311804031399,Mon Nov 06 00:59:00 +0000 2023,461,Supporting #Israel means supporting humanity. Speaking out against #Hamas terrorism means supporting humanity. #StandWithIsrael #FreeGazaFromHamas https://t.co/4vuJhPfkW1,1721331311804031399,https://pbs.twimg.com/media/F-MRu18W4AEHpDh.jpg,,en,,8,51,110,https://x.com/undefined/status/1721331311804031399,16314859,;;
1899905572545454172,Wed Mar 12 19:29:21 +0000 2025,5659,If you're a proud supporter of Israel comment below with I stand with Israel. Let s unite together on this platform.️ https://t.co/fPdqahJXeb,1899905572545454172,https://pbs.twimg.com/media/Gl3SAtrXYAATwo1.jpg,,en,,47,1090,1032,https://x.com/undefined/status/1899905572545454172,1117210361592205312,;;
1826998156006949173,Fri Aug 23 15:01:19 +0000 2024,819,Hawaii stands with Israel. 🇮🇱 Via: jonny_cohen17 https://t.co/r1Sfb5QeM8,1826998156006949173,https://pbs.twimg.com/ext_tw_video_thumb/1826998105020968960/pu/img/w0gyQXVeaEap12GT.jpg,,en,,9,41,116,https://x.com/undefined/status/1826998156006949173,16314859,;;
1820837522416480368,Tue Aug 06 15:01:09 +0000 2024,1943,Now and always we stand with #Israel! #AmYisraelChai! 🇮🇱 https://t.co/OMwtYuz6Pq,1820837522416480368,https://pbs.twimg.com/media/GUTqE5_W0AALx7Q.jpg,,en,,13,77,343,https://x.com/undefined/status/1820837522416480368,16314859,;;
1711391600587203069,Mon Oct 09 14:42:08 +0000 2023,1898,Israel is strong and #Israel will prevail! 🇮🇱 https://t.co/ANNY8xXeiQ,1711391600587203069,https://pbs.twimg.com/media/F8AVlXYWUAAnDBz.jpg,,en,,7,95,328,https://x.com/undefined/status/1711391600587203069,16314859,;;
1711329180019728545,Mon Oct 09 10:34:06 +0000 2023,1007,Amazing video from #Israel: Countless #Israelis show their love to the @IDF soldiers including setting up refreshment stops as they prepare to defend the country from Palestinian terrorists. Am Yisrael Chai. 🇮🇱 #StandWithIsrael #IsraelUnderAttack #HamasMassacre https://t.co/0G3Da4Mzyf,1711329180019728545,https://pbs.twimg.com/amplify_video_thumb/1711328966353510400/img/j1rfqsMOc2kVFnaM.jpg,,en,,17,42,269,https://x.com/undefined/status/1711329180019728545,16314859,;;
1852848425835855920,Sat Nov 02 23:01:03 +0000 2024,621,Share if you stand with the people of Israel! https://t.co/LBAEMy4Vph,1852848425835855920,https://pbs.twimg.com/media/Gbaj0obbYAAO8Fl.jpg,,en,,7,54,179,https://x.com/undefined/status/1852848425835855920,16314859,;;
1845951202191987115,Mon Oct 14 22:13:57 +0000 2024,292,If you support Israel &amp; want more followers Comment : I Stand With Israel &amp; follow each other! https://t.co/texqPdmshd,1845951202191987115,https://pbs.twimg.com/media/GZ4iwzJXQAA-63T.jpg,,en,,2,47,65,https://x.com/undefined/status/1845951202191987115,1693318718158200832,
1857121318795448365,Thu Nov 14 18:00:00 +0000 2024,6242,If you're a proud supporter of Israel comment below with I stand with Israel. Let s unite together on this platform.️ https://t.co/BCSTtOZHlk,1857121318795448365,https://pbs.twimg.com/media/GcWuQNzWkAA16QA.png,,en,,65,1322,1125,https://x.com/undefined/status/1857121318795448365,1117210361592205312,;;
1766339633158447550,Sat Mar 09 05:46:00 +0000 2024,2438,We couldn't have said it better. #Israel a beacon of hope and resilience destined to endure and flourish. 🇮🇱 https://t.co/17Me5OigeM,1766339633158447550,https://pbs.twimg.com/media/GIJtqLrXwAACMjc.jpg,,en,,38,263,624,https://x.com/undefined/status/1766339633158447550,16314859,;;
1854501555333963901,Thu Nov 07 12:30:00 +0000 2024,10857,I unapologetically and proudly stand with Israel. If you feel the same let it be known.,1854501555333963901,,,en,,79,831,1397,https://x.com/undefined/status/1854501555333963901,1117210361592205312,;;
1903881521846493670,Sun Mar 23 18:48:21 +0000 2025,14,Ireland stands with #Isreal All the smart ones stand with Israel 🇮🇱 ️️️️,1903881521846493670,,,en,,0,4,4,https://x.com/undefined/status/1903881521846493670,1545523991217147907,;;
1908586696066949309,Sun Apr 06 03:26:46 +0000 2025,4,@Osint613 I stand with Isreal. https://t.co/4lVPYMdvFx,1908723024590983263,https://pbs.twimg.com/media/Gn0led6b0AAJ8Cm.jpg,Osint613,en,,0,1,0,https://x.com/undefined/status/1908723024590983263,1870580798782386176,;;
1868685060238369028,Mon Dec 16 15:50:11 +0000 2024,192,Stand with Israel. It's a biblical mandate 🇮🇱,1868685060238369028,,,en,,3,4,24,https://x.com/undefined/status/1868685060238369028,26834339,;;
1906985663582584965,Tue Apr 01 08:23:06 +0000 2025,0,#ای_ایران #سیزده_بدر #جاویدشاه_رمز_پیروزی @JonathanMajburd Thank You For Supporting Freedom For Iran In The Right Way. King Reza Pahlavi ️ Iranians stand with Isreal ️ Cyrus Accords ️ https://t.co/d6tW0pSdDi,1906985663582584965,https://pbs.twimg.com/ext_tw_video_thumb/1906983888247042048/pu/img/LIGoiwDU51flhs4Y.jpg,,en,,0,0,0,https://x.com/undefined/status/1906985663582584965,4887006074,;;
1720616602545049873,Sat Nov 04 01:39:00 +0000 2023,388,A united #Israel is an Israel that will prevail over the evils of #Hamas terrorism. @gantzbe https://t.co/fwB3CZ1rUk,1720616602545049873,https://pbs.twimg.com/media/F-Bt6kWWAAIEu11.jpg,,en,,4,29,59,https://x.com/undefined/status/1720616602545049873,16314859,;;
1841346430796992695,Wed Oct 02 05:16:14 +0000 2024,822,The support and solidarity from all of you my friends will never be forgotten. The Ayatollah regime has crossed the red line and the State of Israel will not remain silent in the face of Iran's brutal attack on our citizens. Stand with Israel against Iran!,1841346430796992695,,,en,,3,67,116,https://x.com/undefined/status/1841346430796992695,54820880,;;
1908827704574521581,Sun Apr 06 10:22:43 +0000 2025,0,Isreal can do what it wants and nobody in the so called democratic western world has the guts to stand up against them and speak the truth which is the state of Israel are mass murdering Palestinians. I will never vote for again disgusted with the British political class,1908827704574521581,,,en,,0,0,0,https://x.com/undefined/status/1908827704574521581,248885435,;;
